,State,Date,value
490,Missouri,2015-11-01,117.1
491,Mississippi,2015-11-01,45.5
492,Montana,2015-11-01,26.7
493,North Carolina,2015-11-01,192.9
494,North Dakota,2015-11-01,32.9
495,New Hampshire,2015-11-01,25.0
496,New Jersey,2015-11-01,151.2
497,New Mexico,2015-11-01,43.9
498,Nevada,2015-11-01,73.9
499,New York,2015-11-01,370.3
500,Ohio,2015-11-01,204.8
501,Oklahoma,2015-11-01,78.0
502,Oregon,2015-11-01,85.7
503,Pennsylvania,2015-11-01,239.8
504,Rhode Island,2015-11-01,17.6
505,South Carolina,2015-11-01,92.0
506,South Dakota,2015-11-01,22.1
507,Maryland,2015-11-01,158.4
508,Nebraska,2015-11-01,49.8
509,Texas,2015-11-01,691.7
510,Utah,2015-11-01,88.0
511,Virginia,2015-11-01,187.0
512,Vermont,2015-11-01,15.3
513,Washington,2015-11-01,175.6
514,Wisconsin,2015-11-01,110.7
515,West Virginia,2015-11-01,31.2
516,Wyoming,2015-11-01,22.9
517,Alaska,2015-12-01,17.1
518,Alabama,2015-12-01,83.9
519,Arkansas,2015-12-01,50.6
520,Arizona,2015-12-01,130.0
521,California,2015-12-01,762.7
522,Colorado,2015-12-01,151.5
523,Connecticut,2015-12-01,59.4
524,Florida,2015-12-01,453.9
525,Georgia,2015-12-01,174.7
526,Iowa,2015-12-01,79.9
527,Idaho,2015-12-01,39.3
528,Illinois,2015-12-01,218.9
529,Indiana,2015-12-01,130.4
530,Kansas,2015-12-01,62.1
531,Kentucky,2015-12-01,77.6
532,Louisiana,2015-12-01,142.3
533,Massachusetts,2015-12-01,145.0
534,Maine,2015-12-01,27.3
535,Michigan,2015-12-01,151.7
536,Minnesota,2015-12-01,116.4
537,Missouri,2015-12-01,118.2
538,Mississippi,2015-12-01,45.9
539,Montana,2015-12-01,26.9
540,North Carolina,2015-12-01,194.2
541,North Dakota,2015-12-01,33.0
542,New Hampshire,2015-12-01,25.3
543,New Jersey,2015-12-01,151.8
544,New Mexico,2015-12-01,43.9
545,Nevada,2015-12-01,75.3
546,New York,2015-12-01,373.3
547,Ohio,2015-12-01,206.9
548,Oklahoma,2015-12-01,77.3
549,Oregon,2015-12-01,86.2
550,Pennsylvania,2015-12-01,240.7
551,Rhode Island,2015-12-01,17.7
552,South Carolina,2015-12-01,92.9
553,South Dakota,2015-12-01,22.3
554,Maryland,2015-12-01,159.0
555,Nebraska,2015-12-01,50.0
556,Texas,2015-12-01,693.3
557,Utah,2015-12-01,89.4
558,Virginia,2015-12-01,188.3
559,Vermont,2015-12-01,15.3
560,Washington,2015-12-01,177.1
561,Wisconsin,2015-12-01,111.6
562,West Virginia,2015-12-01,31.4
563,Wyoming,2015-12-01,22.5
564,Alaska,2016-01-01,16.9
565,Alabama,2016-01-01,84.9
566,Arkansas,2016-01-01,50.4
567,Arizona,2016-01-01,130.2
568,California,2016-01-01,764.1
569,Colorado,2016-01-01,151.9
570,Connecticut,2016-01-01,59.6
571,Florida,2016-01-01,456.9
