,State,Date,value
616,Colorado,1991-01-01,168.5
617,Connecticut,1991-01-01,290.0
618,Delaware,1991-01-01,47.9
619,Florida,1991-01-01,488.8
620,Georgia,1991-01-01,502.1
621,Hawaii,1991-01-01,20.6
622,Iowa,1991-01-01,217.7
623,Idaho,1991-01-01,53.8
624,Illinois,1991-01-01,894.2
625,Indiana,1991-01-01,589.9
626,Kansas,1991-01-01,172.4
627,Kentucky,1991-01-01,268.0
628,Louisiana,1991-01-01,179.6
629,Massachusetts,1991-01-01,459.9
630,Maryland,1991-01-01,195.8
631,Maine,1991-01-01,90.8
632,Michigan,1991-01-01,783.2
633,Minnesota,1991-01-01,341.4
634,Missouri,1991-01-01,376.0
635,Mississippi,1991-01-01,229.4
636,Montana,1991-01-01,19.4
637,North Carolina,1991-01-01,802.1
638,North Dakota,1991-01-01,16.2
639,Nebraska,1991-01-01,97.6
640,New Hampshire,1991-01-01,94.0
641,New Jersey,1991-01-01,507.5
642,New Mexico,1991-01-01,38.5
643,Nevada,1991-01-01,24.5
644,New York,1991-01-01,928.5
645,Ohio,1991-01-01,1034.3
646,Oklahoma,1991-01-01,161.4
647,Oregon,1991-01-01,200.3
648,Pennsylvania,1991-01-01,930.3
649,Rhode Island,1991-01-01,89.9
650,South Carolina,1991-01-01,336.6
651,South Dakota,1991-01-01,33.4
652,District of Columbia,1991-01-01,7.0
653,Alabama,1991-01-01,355.3
654,Tennessee,1991-01-01,485.9
655,Texas,1991-01-01,947.3
656,Utah,1991-01-01,104.2
657,Virginia,1991-01-01,381.8
658,Vermont,1991-01-01,41.1
659,Washington,1991-01-01,329.8
660,Wisconsin,1991-01-01,516.9
661,West Virginia,1991-01-01,80.6
662,Wyoming,1991-01-01,9.2
663,Alaska,1991-02-01,14.3
664,Arkansas,1991-02-01,217.5
665,Arizona,1991-02-01,172.9
666,California,1991-02-01,1928.9
667,Colorado,1991-02-01,168.5
668,Connecticut,1991-02-01,288.4
669,Delaware,1991-02-01,42.2
670,Florida,1991-02-01,485.6
671,Georgia,1991-02-01,499.4
672,Hawaii,1991-02-01,20.4
673,Iowa,1991-02-01,216.6
674,Idaho,1991-02-01,54.2
675,Illinois,1991-02-01,888.2
676,Indiana,1991-02-01,579.8
677,Kansas,1991-02-01,172.2
678,Kentucky,1991-02-01,267.1
679,Louisiana,1991-02-01,179.7
680,Massachusetts,1991-02-01,455.9
681,Maryland,1991-02-01,193.7
682,Maine,1991-02-01,89.7
683,Michigan,1991-02-01,785.4
684,Minnesota,1991-02-01,339.5
685,Missouri,1991-02-01,374.2
686,Mississippi,1991-02-01,226.5
687,Montana,1991-02-01,19.4
688,North Carolina,1991-02-01,797.5
689,North Dakota,1991-02-01,16.4
690,Nebraska,1991-02-01,97.5
691,New Hampshire,1991-02-01,93.1
692,New Jersey,1991-02-01,505.3
693,New Mexico,1991-02-01,38.4
694,Nevada,1991-02-01,24.4
695,New York,1991-02-01,922.2
696,Ohio,1991-02-01,1020.0
697,Oklahoma,1991-02-01,162.7
698,Oregon,1991-02-01,199.5
699,Pennsylvania,1991-02-01,924.6
700,Rhode Island,1991-02-01,89.0
701,South Carolina,1991-02-01,334.6
702,South Dakota,1991-02-01,33.6
703,District of Columbia,1991-02-01,7.0
704,Alabama,1991-02-01,352.8
705,Tennessee,1991-02-01,484.0
706,Texas,1991-02-01,946.8
707,Utah,1991-02-01,104.3
708,Virginia,1991-02-01,378.2
709,Vermont,1991-02-01,40.3
710,Washington,1991-02-01,329.9
711,Wisconsin,1991-02-01,514.4
712,West Virginia,1991-02-01,80.2
713,Wyoming,1991-02-01,9.2
714,Alaska,1991-03-01,14.2
715,Arkansas,1991-03-01,217.5
716,Arizona,1991-03-01,172.2
717,California,1991-03-01,1915.3
718,Colorado,1991-03-01,167.8
719,Connecticut,1991-03-01,287.6
720,Delaware,1991-03-01,47.7
721,Florida,1991-03-01,483.0
722,Georgia,1991-03-01,500.3
723,Hawaii,1991-03-01,20.1
724,Iowa,1991-03-01,216.5
725,Idaho,1991-03-01,54.2
726,Illinois,1991-03-01,885.1
727,Indiana,1991-03-01,573.3
728,Kansas,1991-03-01,174.0
729,Kentucky,1991-03-01,265.7
730,Louisiana,1991-03-01,179.9
731,Massachusetts,1991-03-01,453.6
732,Maryland,1991-03-01,192.8
733,Maine,1991-03-01,89.2
734,Michigan,1991-03-01,774.2
