,variable,value
Indiana,1990-10-01,606.6
Kansas,1990-10-01,177.7
Kentucky,1990-10-01,272.5
Louisiana,1990-10-01,177.9
Massachusetts,1990-10-01,470.1
Maryland,1990-10-01,197.9
Maine,1990-10-01,91.1
Michigan,1990-10-01,830.7
Minnesota,1990-10-01,340.8
Missouri,1990-10-01,390.0
Mississippi,1990-10-01,231.6
Montana,1990-10-01,19.7
North Carolina,1990-10-01,809.9
North Dakota,1990-10-01,15.9
Nebraska,1990-10-01,98.1
New Hampshire,1990-10-01,96.0
New Jersey,1990-10-01,515.6
New Mexico,1990-10-01,38.2
Nevada,1990-10-01,24.8
New York,1990-10-01,962.7
Ohio,1990-10-01,1059.3
Oklahoma,1990-10-01,162.6
Oregon,1990-10-01,200.7
Pennsylvania,1990-10-01,941.0
Rhode Island,1990-10-01,94.1
South Carolina,1990-10-01,343.1
South Dakota,1990-10-01,33.8
District of Columbia,1990-10-01,7.1
Alabama,1990-10-01,363.4
Tennessee,1990-10-01,495.3
Texas,1990-10-01,950.7
Utah,1990-10-01,104.6
Virginia,1990-10-01,383.6
Vermont,1990-10-01,42.0
Washington,1990-10-01,333.5
Wisconsin,1990-10-01,524.0
West Virginia,1990-10-01,82.0
Wyoming,1990-10-01,9.3
Alaska,1990-11-01,16.3
Arkansas,1990-11-01,219.3
Arizona,1990-11-01,175.6
California,1990-11-01,1944.4
Colorado,1990-11-01,170.0
Connecticut,1990-11-01,291.9
Delaware,1990-11-01,43.8
Florida,1990-11-01,497.0
Georgia,1990-11-01,511.4
Hawaii,1990-11-01,20.5
Iowa,1990-11-01,219.0
Idaho,1990-11-01,52.2
Illinois,1990-11-01,902.9
Indiana,1990-11-01,593.9
Kansas,1990-11-01,175.3
Kentucky,1990-11-01,270.9
Louisiana,1990-11-01,179.2
Massachusetts,1990-11-01,468.2
Maryland,1990-11-01,197.8
Maine,1990-11-01,89.7
Michigan,1990-11-01,806.3
Minnesota,1990-11-01,341.0
Missouri,1990-11-01,384.4
Mississippi,1990-11-01,230.6
Montana,1990-11-01,19.7
North Carolina,1990-11-01,810.2
North Dakota,1990-11-01,16.2
Nebraska,1990-11-01,98.6
New Hampshire,1990-11-01,95.3
New Jersey,1990-11-01,511.1
New Mexico,1990-11-01,38.2
Nevada,1990-11-01,24.7
New York,1990-11-01,949.5
Ohio,1990-11-01,1042.6
Oklahoma,1990-11-01,161.7
Oregon,1990-11-01,202.2
Pennsylvania,1990-11-01,937.8
Rhode Island,1990-11-01,93.6
South Carolina,1990-11-01,340.9
South Dakota,1990-11-01,33.8
District of Columbia,1990-11-01,7.2
Alabama,1990-11-01,361.2
Tennessee,1990-11-01,492.8
Texas,1990-11-01,949.5
Utah,1990-11-01,104.6
Virginia,1990-11-01,381.7
Vermont,1990-11-01,41.6
Washington,1990-11-01,333.7
Wisconsin,1990-11-01,521.4
West Virginia,1990-11-01,80.3
Wyoming,1990-11-01,9.3
Alaska,1990-12-01,16.8
Arkansas,1990-12-01,218.9
Arizona,1990-12-01,174.9
California,1990-12-01,1939.2
Colorado,1990-12-01,170.3
Connecticut,1990-12-01,291.0
Delaware,1990-12-01,44.3
Florida,1990-12-01,495.2
