,variable,value
Oklahoma,2015-08-01,1823735.0
Oregon,2015-08-01,1980845.0
Pennsylvania,2015-08-01,6481593.0
Rhode Island,2015-08-01,563629.0
South Carolina,2015-08-01,2241066.0
South Dakota,2015-08-01,450086.0
Tennessee,2015-08-01,3080105.0
Texas,2015-08-01,13031358.0
Utah,2015-08-01,1465935.0
Virginia,2015-08-01,4223634.0
Vermont,2015-08-01,350907.0
Washington,2015-08-01,3554823.0
Wisconsin,2015-08-01,3091273.0
West Virginia,2015-08-01,790472.0
Wyoming,2015-08-01,300273.0
Alaska,2015-09-01,360526.0
Alabama,2015-09-01,2170975.0
Arkansas,2015-09-01,1332649.0
Arizona,2015-09-01,3119596.0
California,2015-09-01,18832610.0
Colorado,2015-09-01,2821852.0
Connecticut,2015-09-01,1895796.0
District of Columbia,2015-09-01,382552.0
Delaware,2015-09-01,464181.0
Florida,2015-09-01,9615536.0
Georgia,2015-09-01,4731195.0
Hawaii,2015-09-01,684081.0
Iowa,2015-09-01,1700298.0
Idaho,2015-09-01,802951.0
Illinois,2015-09-01,6565320.0
Indiana,2015-09-01,3278980.0
Kansas,2015-09-01,1497880.0
Kentucky,2015-09-01,1976555.0
Louisiana,2015-09-01,2134210.0
Massachusetts,2015-09-01,3610168.0
Maryland,2015-09-01,3168394.0
Maine,2015-09-01,686620.0
Michigan,2015-09-01,4779395.0
Minnesota,2015-09-01,3017390.0
Missouri,2015-09-01,3050791.0
Mississippi,2015-09-01,1262078.0
Montana,2015-09-01,520872.0
North Carolina,2015-09-01,4714568.0
North Dakota,2015-09-01,412104.0
Nebraska,2015-09-01,1017033.0
New Hampshire,2015-09-01,746425.0
New Jersey,2015-09-01,4589208.0
New Mexico,2015-09-01,939512.0
Nevada,2015-09-01,1395804.0
New York,2015-09-01,9732729.0
Ohio,2015-09-01,5715547.0
Oklahoma,2015-09-01,1821679.0
Oregon,2015-09-01,1985425.0
Pennsylvania,2015-09-01,6486574.0
Rhode Island,2015-09-01,562994.0
South Carolina,2015-09-01,2241281.0
South Dakota,2015-09-01,450221.0
Tennessee,2015-09-01,3081151.0
Texas,2015-09-01,13043523.0
Utah,2015-09-01,1468803.0
Virginia,2015-09-01,4221591.0
Vermont,2015-09-01,350639.0
Washington,2015-09-01,3561553.0
Wisconsin,2015-09-01,3094258.0
West Virginia,2015-09-01,789089.0
Wyoming,2015-09-01,300090.0
Alaska,2015-10-01,360364.0
Alabama,2015-10-01,2173053.0
Arkansas,2015-10-01,1332905.0
Arizona,2015-10-01,3123660.0
California,2015-10-01,18846578.0
Colorado,2015-10-01,2827738.0
Connecticut,2015-10-01,1895443.0
District of Columbia,2015-10-01,382995.0
Delaware,2015-10-01,465198.0
Florida,2015-10-01,9632214.0
Georgia,2015-10-01,4734979.0
Hawaii,2015-10-01,685238.0
Iowa,2015-10-01,1702038.0
Idaho,2015-10-01,804326.0
Illinois,2015-10-01,6575528.0
Indiana,2015-10-01,3288343.0
Kansas,2015-10-01,1499217.0
Kentucky,2015-10-01,1980054.0
Louisiana,2015-10-01,2131724.0
Massachusetts,2015-10-01,3609632.0
Maryland,2015-10-01,3168925.0
Maine,2015-10-01,686563.0
Michigan,2015-10-01,4786771.0
Minnesota,2015-10-01,3019206.0
Missouri,2015-10-01,3052804.0
Mississippi,2015-10-01,1264017.0
Montana,2015-10-01,521678.0
North Carolina,2015-10-01,4719324.0
North Dakota,2015-10-01,412475.0
Nebraska,2015-10-01,1018552.0
New Hampshire,2015-10-01,747110.0
New Jersey,2015-10-01,4590617.0
New Mexico,2015-10-01,939028.0
Nevada,2015-10-01,1396707.0
New York,2015-10-01,9740366.0
Ohio,2015-10-01,5719033.0
Oklahoma,2015-10-01,1821067.0
Oregon,2015-10-01,1991370.0
Pennsylvania,2015-10-01,6494946.0
Rhode Island,2015-10-01,562667.0
South Carolina,2015-10-01,2243185.0
South Dakota,2015-10-01,450545.0
Tennessee,2015-10-01,3084457.0
Texas,2015-10-01,13062295.0
Utah,2015-10-01,1472335.0
Virginia,2015-10-01,4221568.0
Vermont,2015-10-01,350573.0
Washington,2015-10-01,3570132.0
Wisconsin,2015-10-01,3099569.0
West Virginia,2015-10-01,788343.0
Wyoming,2015-10-01,300031.0
Alaska,2015-11-01,360361.0
Alabama,2015-11-01,2176431.0
Arkansas,2015-11-01,1334180.0
Arizona,2015-11-01,3129489.0
California,2015-11-01,18875380.0
Colorado,2015-11-01,2835878.0
Connecticut,2015-11-01,1896095.0
District of Columbia,2015-11-01,383528.0
Delaware,2015-11-01,466327.0
Florida,2015-11-01,9653667.0
Georgia,2015-11-01,4742569.0
Hawaii,2015-11-01,686702.0
Iowa,2015-11-01,1705349.0
Idaho,2015-11-01,806140.0
Illinois,2015-11-01,6592406.0
Indiana,2015-11-01,3300603.0
Kansas,2015-11-01,1500810.0
Kentucky,2015-11-01,1984895.0
Louisiana,2015-11-01,2131345.0
Massachusetts,2015-11-01,3612914.0
Maryland,2015-11-01,3171082.0
Maine,2015-11-01,687257.0
Michigan,2015-11-01,4798667.0
Minnesota,2015-11-01,3022960.0
Missouri,2015-11-01,3056290.0
Mississippi,2015-11-01,1266257.0
Montana,2015-11-01,522689.0
North Carolina,2015-11-01,4727836.0
North Dakota,2015-11-01,413014.0
Nebraska,2015-11-01,1020251.0
New Hampshire,2015-11-01,748406.0
New Jersey,2015-11-01,4595758.0
New Mexico,2015-11-01,939278.0
Nevada,2015-11-01,1398385.0
New York,2015-11-01,9754221.0
Ohio,2015-11-01,5728965.0
Oklahoma,2015-11-01,1822170.0
Oregon,2015-11-01,1999157.0
Pennsylvania,2015-11-01,6506860.0
Rhode Island,2015-11-01,562726.0
South Carolina,2015-11-01,2246987.0
South Dakota,2015-11-01,451039.0
Tennessee,2015-11-01,3090661.0
Texas,2015-11-01,13088927.0
Utah,2015-11-01,1476757.0
Virginia,2015-11-01,4224180.0
Vermont,2015-11-01,350711.0
Washington,2015-11-01,3580721.0
Wisconsin,2015-11-01,3106733.0
West Virginia,2015-11-01,788293.0
Wyoming,2015-11-01,300146.0
Alaska,2015-12-01,360496.0
Alabama,2015-12-01,2180375.0
Arkansas,2015-12-01,1335781.0
Arizona,2015-12-01,3136316.0
California,2015-12-01,18910415.0
Colorado,2015-12-01,2845145.0
Connecticut,2015-12-01,1897121.0
District of Columbia,2015-12-01,384123.0
Delaware,2015-12-01,467363.0
Florida,2015-12-01,9676271.0
Georgia,2015-12-01,4750782.0
Hawaii,2015-12-01,688148.0
Iowa,2015-12-01,1709426.0
Idaho,2015-12-01,808241.0
Illinois,2015-12-01,6612670.0
Indiana,2015-12-01,3313993.0
Kansas,2015-12-01,1502058.0
Kentucky,2015-12-01,1989899.0
Louisiana,2015-12-01,2131888.0
Massachusetts,2015-12-01,3618835.0
Maryland,2015-12-01,3173815.0
Maine,2015-12-01,688481.0
Michigan,2015-12-01,4813134.0
Minnesota,2015-12-01,3027432.0
Missouri,2015-12-01,3059863.0
Mississippi,2015-12-01,1267894.0
Montana,2015-12-01,523658.0
North Carolina,2015-12-01,4738519.0
North Dakota,2015-12-01,413573.0
Nebraska,2015-12-01,1021789.0
New Hampshire,2015-12-01,750055.0
New Jersey,2015-12-01,4602656.0
New Mexico,2015-12-01,940098.0
Nevada,2015-12-01,1400386.0
New York,2015-12-01,9768487.0
Ohio,2015-12-01,5743561.0
Oklahoma,2015-12-01,1823974.0
Oregon,2015-12-01,2007927.0
Pennsylvania,2015-12-01,6519532.0
Rhode Island,2015-12-01,563002.0
South Carolina,2015-12-01,2251491.0
South Dakota,2015-12-01,451549.0
Tennessee,2015-12-01,3098226.0
Texas,2015-12-01,13119457.0
Utah,2015-12-01,1481723.0
Virginia,2015-12-01,4227902.0
Vermont,2015-12-01,350950.0
Washington,2015-12-01,3592144.0
Wisconsin,2015-12-01,3114079.0
West Virginia,2015-12-01,788672.0
Wyoming,2015-12-01,300374.0
Alaska,2016-01-01,360705.0
Alabama,2016-01-01,2184528.0
Arkansas,2016-01-01,1337081.0
Arizona,2016-01-01,3143360.0
California,2016-01-01,18943234.0
Colorado,2016-01-01,2854015.0
Connecticut,2016-01-01,1898182.0
District of Columbia,2016-01-01,384806.0
Delaware,2016-01-01,468108.0
Florida,2016-01-01,9696667.0
Georgia,2016-01-01,4757099.0
Hawaii,2016-01-01,689357.0
Iowa,2016-01-01,1712835.0
Idaho,2016-01-01,810355.0
Illinois,2016-01-01,6630981.0
Indiana,2016-01-01,3325676.0
Kansas,2016-01-01,1502719.0
Kentucky,2016-01-01,1994227.0
Louisiana,2016-01-01,2132364.0
Massachusetts,2016-01-01,3624936.0
Maryland,2016-01-01,3175927.0
Maine,2016-01-01,689942.0
Michigan,2016-01-01,4827409.0
Minnesota,2016-01-01,3030919.0
Missouri,2016-01-01,3062796.0
Mississippi,2016-01-01,1268405.0
Montana,2016-01-01,524396.0
North Carolina,2016-01-01,4748878.0
North Dakota,2016-01-01,414024.0
Nebraska,2016-01-01,1022997.0
New Hampshire,2016-01-01,751713.0
New Jersey,2016-01-01,4608942.0
New Mexico,2016-01-01,941174.0
Nevada,2016-01-01,1402291.0
New York,2016-01-01,9777801.0
Ohio,2016-01-01,5758397.0
Oklahoma,2016-01-01,1825278.0
Oregon,2016-01-01,2016473.0
Pennsylvania,2016-01-01,6529917.0
Rhode Island,2016-01-01,563314.0
South Carolina,2016-01-01,2255437.0
South Dakota,2016-01-01,451982.0
Tennessee,2016-01-01,3105368.0
Texas,2016-01-01,13149367.0
Utah,2016-01-01,1486793.0
Virginia,2016-01-01,4231483.0
Vermont,2016-01-01,351226.0
Washington,2016-01-01,3603119.0
