,GeoFIPS,State,LineCode,Description,value,Year,Quarter
185,11000,District of Columbia,3,Per capita personal income (dollars) 2,74863.0,2015,Q2
186,12000,Florida,1,"Personal income (millions of dollars, seasonally adjusted)",902353.3,2015,Q2
187,12000,Florida,2,"Population (midperiod, persons) 1",20096944.0,2015,Q2
188,12000,Florida,3,Per capita personal income (dollars) 2,44900.0,2015,Q2
189,13000,Georgia,1,"Personal income (millions of dollars, seasonally adjusted)",421557.9,2015,Q2
190,13000,Georgia,2,"Population (midperiod, persons) 1",10177664.0,2015,Q2
191,13000,Georgia,3,Per capita personal income (dollars) 2,41420.0,2015,Q2
192,15000,Hawaii *,1,"Personal income (millions of dollars, seasonally adjusted)",67983.2,2015,Q2
193,15000,Hawaii *,2,"Population (midperiod, persons) 1",1444979.0,2015,Q2
194,15000,Hawaii *,3,Per capita personal income (dollars) 2,47048.0,2015,Q2
195,16000,Idaho,1,"Personal income (millions of dollars, seasonally adjusted)",64183.6,2015,Q2
196,16000,Idaho,2,"Population (midperiod, persons) 1",1660606.0,2015,Q2
197,16000,Idaho,3,Per capita personal income (dollars) 2,38651.0,2015,Q2
198,17000,Illinois,1,"Personal income (millions of dollars, seasonally adjusted)",655103.5,2015,Q2
199,17000,Illinois,2,"Population (midperiod, persons) 1",12963706.0,2015,Q2
200,17000,Illinois,3,Per capita personal income (dollars) 2,50534.0,2015,Q2
201,18000,Indiana,1,"Personal income (millions of dollars, seasonally adjusted)",278907.3,2015,Q2
202,18000,Indiana,2,"Population (midperiod, persons) 1",6626384.0,2015,Q2
203,18000,Indiana,3,Per capita personal income (dollars) 2,42090.0,2015,Q2
204,19000,Iowa,1,"Personal income (millions of dollars, seasonally adjusted)",141704.3,2015,Q2
205,19000,Iowa,2,"Population (midperiod, persons) 1",3134373.0,2015,Q2
206,19000,Iowa,3,Per capita personal income (dollars) 2,45210.0,2015,Q2
207,20000,Kansas,1,"Personal income (millions of dollars, seasonally adjusted)",136308.5,2015,Q2
208,20000,Kansas,2,"Population (midperiod, persons) 1",2921220.0,2015,Q2
209,20000,Kansas,3,Per capita personal income (dollars) 2,46661.0,2015,Q2
210,21000,Kentucky,1,"Personal income (millions of dollars, seasonally adjusted)",172035.5,2015,Q2
211,21000,Kentucky,2,"Population (midperiod, persons) 1",4441755.0,2015,Q2
212,21000,Kentucky,3,Per capita personal income (dollars) 2,38731.0,2015,Q2
213,22000,Louisiana,1,"Personal income (millions of dollars, seasonally adjusted)",198112.1,2015,Q2
214,22000,Louisiana,2,"Population (midperiod, persons) 1",4667821.0,2015,Q2
215,22000,Louisiana,3,Per capita personal income (dollars) 2,42442.0,2015,Q2
216,23000,Maine,1,"Personal income (millions of dollars, seasonally adjusted)",57104.8,2015,Q2
217,23000,Maine,2,"Population (midperiod, persons) 1",1335828.0,2015,Q2
218,23000,Maine,3,Per capita personal income (dollars) 2,42749.0,2015,Q2
219,24000,Maryland,1,"Personal income (millions of dollars, seasonally adjusted)",331834.9,2015,Q2
220,24000,Maryland,2,"Population (midperiod, persons) 1",6045288.0,2015,Q2
221,24000,Maryland,3,Per capita personal income (dollars) 2,54891.0,2015,Q2
222,25000,Massachusetts,1,"Personal income (millions of dollars, seasonally adjusted)",421267.3,2015,Q2
223,25000,Massachusetts,2,"Population (midperiod, persons) 1",6860726.0,2015,Q2
224,25000,Massachusetts,3,Per capita personal income (dollars) 2,61403.0,2015,Q2
225,26000,Michigan,1,"Personal income (millions of dollars, seasonally adjusted)",427616.8,2015,Q2
226,26000,Michigan,2,"Population (midperiod, persons) 1",9985715.0,2015,Q2
227,26000,Michigan,3,Per capita personal income (dollars) 2,42823.0,2015,Q2
228,27000,Minnesota,1,"Personal income (millions of dollars, seasonally adjusted)",281721.4,2015,Q2
229,27000,Minnesota,2,"Population (midperiod, persons) 1",5505824.0,2015,Q2
230,27000,Minnesota,3,Per capita personal income (dollars) 2,51168.0,2015,Q2
231,28000,Mississippi,1,"Personal income (millions of dollars, seasonally adjusted)",104715.7,2015,Q2
232,28000,Mississippi,2,"Population (midperiod, persons) 1",2985350.0,2015,Q2
233,28000,Mississippi,3,Per capita personal income (dollars) 2,35077.0,2015,Q2
234,29000,Missouri,1,"Personal income (millions of dollars, seasonally adjusted)",258337.6,2015,Q2
235,29000,Missouri,2,"Population (midperiod, persons) 1",6074821.0,2015,Q2
236,29000,Missouri,3,Per capita personal income (dollars) 2,42526.0,2015,Q2
237,30000,Montana,1,"Personal income (millions of dollars, seasonally adjusted)",44538.9,2015,Q2
238,30000,Montana,2,"Population (midperiod, persons) 1",1033340.0,2015,Q2
239,30000,Montana,3,Per capita personal income (dollars) 2,43102.0,2015,Q2
240,31000,Nebraska,1,"Personal income (millions of dollars, seasonally adjusted)",94639.5,2015,Q2
241,31000,Nebraska,2,"Population (midperiod, persons) 1",1902894.0,2015,Q2
242,31000,Nebraska,3,Per capita personal income (dollars) 2,49735.0,2015,Q2
243,32000,Nevada,1,"Personal income (millions of dollars, seasonally adjusted)",124833.8,2015,Q2
