"REF_DATE","GEO","DGUID","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015","Canada","2016A000011124","Non-mortgage interest paid","Dollars","81","millions","6","v62790686","1.12","37084","","","","0"
"2016","Canada","2016A000011124","Non-mortgage interest paid","Dollars","81","millions","6","v62790686","1.12","38256","","","","0"
"2017","Canada","2016A000011124","Non-mortgage interest paid","Dollars","81","millions","6","v62790686","1.12","40543","","","","0"
"2018","Canada","2016A000011124","Non-mortgage interest paid","Dollars","81","millions","6","v62790686","1.12","45411","","","","0"
"2019","Canada","2016A000011124","Non-mortgage interest paid","Dollars","81","millions","6","v62790686","1.12","48914","","","","0"
"2020","Canada","2016A000011124","Non-mortgage interest paid","Dollars","81","millions","6","v62790686","1.12","44478","","","","0"
"2021","Canada","2016A000011124","Non-mortgage interest paid","Dollars","81","millions","6","v62790686","1.12","41086","","","","0"
"2022","Canada","2016A000011124","Non-mortgage interest paid","Dollars","81","millions","6","v62790686","1.12","48269","","","","0"
"2023","Canada","2016A000011124","Non-mortgage interest paid","Dollars","81","millions","6","v62790686","1.12","64782","","","","0"
"2024","Canada","2016A000011124","Non-mortgage interest paid","Dollars","81","millions","6","v62790686","1.12","70849","","","","0"
"2015","Canada","2016A000011124","Divided by: household disposable income","Dollars","81","millions","6","v62790687","1.13","1207208","","","","0"
"2016","Canada","2016A000011124","Divided by: household disposable income","Dollars","81","millions","6","v62790687","1.13","1211121","","","","0"
"2017","Canada","2016A000011124","Divided by: household disposable income","Dollars","81","millions","6","v62790687","1.13","1271717","","","","0"
"2018","Canada","2016A000011124","Divided by: household disposable income","Dollars","81","millions","6","v62790687","1.13","1317934","","","","0"
"2019","Canada","2016A000011124","Divided by: household disposable income","Dollars","81","millions","6","v62790687","1.13","1383083","","","","0"
"2020","Canada","2016A000011124","Divided by: household disposable income","Dollars","81","millions","6","v62790687","1.13","1484570","","","","0"
"2021","Canada","2016A000011124","Divided by: household disposable income","Dollars","81","millions","6","v62790687","1.13","1522912","","","","0"
"2022","Canada","2016A000011124","Divided by: household disposable income","Dollars","81","millions","6","v62790687","1.13","1612935","","","","0"
"2023","Canada","2016A000011124","Divided by: household disposable income","Dollars","81","millions","6","v62790687","1.13","1753929","","","","0"
"2024","Canada","2016A000011124","Divided by: household disposable income","Dollars","81","millions","6","v62790687","1.13","1891628","","","","0"
"2015","Canada","2016A000011124","Equals: debt service ratio, interest only","Ratio","272","units","0","v62790688","1.14","6.41","","","","2"
"2016","Canada","2016A000011124","Equals: debt service ratio, interest only","Ratio","272","units","0","v62790688","1.14","6.47","","","","2"
"2017","Canada","2016A000011124","Equals: debt service ratio, interest only","Ratio","272","units","0","v62790688","1.14","6.48","","","","2"
"2018","Canada","2016A000011124","Equals: debt service ratio, interest only","Ratio","272","units","0","v62790688","1.14","7.06","","","","2"
"2019","Canada","2016A000011124","Equals: debt service ratio, interest only","Ratio","272","units","0","v62790688","1.14","7.43","","","","2"
